 
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,,57,2024-02-24,MIN,,BRK,W 101-86,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,737,58,2024-02-27,MIN,,SAS,W 114-105,*,39:08,6,12,.500,0,1,.000,6,11,.545,.500,1,2,.500,6,11,17,3,0,4,1,2,13,17.2,4
57,738,59,2024-02-28,MIN,,MEM,W 110-101,*,27:12,3,4,.750,0,0,,3,4,.750,.750,2,4,.500,2,6,8,0,1,2,3,2,8,7.4,-16
58,739,60,2024-03-01,MIN,,SAC,L 120-124 (OT),*,42:03,6,9,.667,0,0,,6,9,.667,.667,4,8,.500,2,14,16,1,0,3,1,5,16,15.9,-6
59,740,61,2024-03-03,MIN,,LAC,L 88-89,*,40:27,5,7,.714,0,0,,5,7,.714,.714,2,2,1.000,3,13,16,2,0,3,1,3,12,16.4,4
60,741,62,2024-03-04,MIN,,POR,W 119-114,*,39:01,9,10,.900,0,0,,9,10,.900,.900,7,7,1.000,5,11,16,0,1,3,3,6,25,26.1,-4
61,742,63,2024-03-07,MIN,@,IND,W 113-111,*,39:41,7,11,.636,0,0,,7,11,.636,.636,4,5,.800,6,8,14,0,2,3,2,2,18,20.6,6
62,743,64,2024-03-08,MIN,@,CLE,L 104-113 (OT),*,36:41,3,7,.429,0,0,,3,7,.429,.429,1,2,.500,4,13,17,2,1,2,2,6,7,9.0,7
62,,65,2024-03-10,MIN,@,LAL,L 109-120,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,744,66,2024-03-12,MIN,@,LAC,W 118-100,*,33:26,4,7,.571,0,0,,4,7,.571,.571,0,0,,7,4,11,3,2,2,0,2,8,15.5,11
63,,67,2024-03-16,MIN,@,UTA,W 119-100,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,68,2024-03-18,MIN,@,UTA,W 114-104,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
