Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,61,2024-03-04,OKC,@,LAL,L 104-116,*,28:10,6,14,.429,2,6,.333,4,8,.500,.500,1,1,1.000,3,4,7,1,0,1,0,0,15,12.3,-12
62,62,62,2024-03-06,OKC,@,POR,W 128-120,*,33:11,6,9,.667,1,4,.250,5,5,1.000,.722,8,10,.800,2,12,14,5,0,1,1,1,21,24.1,32
63,63,63,2024-03-08,OKC,,MIA,W 107-100,*,29:28,3,9,.333,1,4,.250,2,5,.400,.389,0,0,,0,3,3,3,0,0,0,1,7,4.5,-1
64,64,64,2024-03-10,OKC,,MEM,W 124-93,*,21:34,4,10,.400,0,4,.000,4,6,.667,.400,0,0,,1,5,6,2,0,2,3,2,8,3.8,30
65,65,65,2024-03-12,OKC,,IND,L 111-121,*,35:25,6,16,.375,3,6,.500,3,10,.300,.469,0,0,,2,11,13,3,0,2,0,2,15,13.6,-4
66,66,66,2024-03-14,OKC,,DAL,W 126-119,*,32:07,4,6,.667,2,3,.667,2,3,.667,.833,1,1,1.000,1,7,8,1,1,1,0,1,11,13.2,-1
67,67,67,2024-03-16,OKC,@,MEM,W 118-112,*,31:35,8,13,.615,2,4,.500,6,9,.667,.692,4,4,1.000,1,10,11,2,1,3,1,2,22,22.5,-7
68,68,68,2024-03-20,OKC,,UTA,W 119-107,*,30:49,12,18,.667,1,5,.200,11,13,.846,.694,10,12,.833,3,11,14,1,2,3,2,1,35,34.2,27
69,69,69,2024-03-22,OKC,@,TOR,W 123-103,*,26:36,8,13,.615,2,4,.500,6,9,.667,.692,0,0,,3,7,10,1,2,1,0,1,18,19.3,14
70,70,70,2024-03-24,OKC,@,MIL,L 93-118,*,25:28,1,10,.100,0,5,.000,1,5,.200,.100,4,4,1.000,1,3,4,0,0,0,1,1,6,-0.4,-1
71,71,71,2024-03-26,OKC,@,NOP,W 119-112,*,33:29,7,13,.538,1,6,.167,6,7,.857,.577,1,2,.500,0,9,9,4,0,2,1,3,16,14.0,16
72,72,72,2024-03-27,OKC,,HOU,L 126-132 (OT),*,18:20,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,7,7,0,0,3,5,6,2,-2.6,1
73,73,73,2024-03-29,OKC,,PHO,W 128-103,*,27:41,6,10,.600,0,0,,6,10,.600,.600,8,8,1.000,1,5,6,2,0,1,1,1,20,18.3,16
74,74,74,2024-03-31,OKC,@,NYK,W 113-112,*,26:13,2,8,.250,1,6,.167,1,2,.500,.313,0,2,.000,1,4,5,0,0,1,3,4,5,-2.6,-10
75,75,75,2024-04-02,OKC,@,PHI,L 105-109,*,29:06,7,14,.500,3,6,.500,4,8,.500,.607,5,5,1.000,1,6,7,1,0,2,3,4,22,15.0,-11
76,76,76,2024-04-03,OKC,@,BOS,L 100-135,*,27:28,5,14,.357,0,3,.000,5,11,.455,.357,1,2,.500,1,6,7,2,0,0,1,1,11,5.3,-11
77,77,77,2024-04-05,OKC,@,IND,L 112-126,*,28:07,4,12,.333,1,6,.167,3,6,.500,.375,6,8,.750,0,8,8,0,0,3,2,4,15,8.3,5
78,78,78,2024-04-07,OKC,@,CHO,W 121-118,*,30:57,6,12,.500,3,6,.500,3,6,.500,.625,5,7,.714,3,7,10,2,2,3,3,3,20,18.7,5
79,79,79,2024-04-09,OKC,,SAC,W 112-105,*,34:06,5,9,.556,2,5,.400,3,4,.750,.667,3,6,.500,3,6,9,2,2,2,0,1,15,17.8,11
80,80,80,2024-04-10,OKC,,SAS,W 127-89,*,14:37,3,8,.375,1,2,.500,2,6,.333,.438,2,2,1.000,1,5,6,2,1,0,0,3,9,8.0,8
81,81,81,2024-04-12,OKC,,MIL,W 125-107,*,25:00,9,13,.692,1,4,.250,8,9,.889,.731,3,3,1.000,3,6,9,3,1,3,2,2,22,22.8,10
82,82,82,2024-04-14,OKC,,DAL,W 135-86,*,11:32,6,8,.750,0,1,.000,6,7,.857,.750,1,1,1.000,2,7,9,0,0,1,2,1,13,11.6,16
,,,,,,,57-25,82,2412,505,953,.530,129,349,.370,376,604,.623,.598,218,275,.793,129,519,648,200,53,190,131,197,1357,15.0,422
